gene,days,raw_data,ct_value,dt_ct,x2_dct,mean2dct,sd2dct
oct4,d11,K8,19.282,3.7799999999999994,0.07279584915427854,0.13251452775754582,0.12203524050621974
oct4,d11,K9,19.406,2.8119999999999976,0.14239792215276462,0.13251452775754582,0.12203524050621974
oct4,d15,K10,18.64,4.0440000000000005,0.06062261939635841,0.13251452775754582,0.12203524050621974
oct4,d15,K11,18.59,2.8759999999999994,0.13621901402666606,0.13251452775754582,0.12203524050621974
oct4,d15,K12,18.441,3.808,0.07139664042803408,0.13251452775754582,0.12203524050621974
oct4,d16,K13,19.843,4.023,0.061511501377112546,0.13251452775754582,0.12203524050621974
oct4,d16,K14,19.001,2.5920000000000023,0.16585564257464497,0.13251452775754582,0.12203524050621974
oct4,d16,K15,19.31,2.8659999999999997,0.13716649219740543,0.13251452775754582,0.12203524050621974
sox2,d0,L1,22.212,6.677,0.0097728834383849009,0.021890885754846552,0.046394975715973806
sox2,d0,L2,22.326,6.845000000000001,0.008698606392411608,0.021890885754846552,0.046394975715973806
sox2,d0,L3,22.554,5.808,0.017849160107008516,0.021890885754846552,0.046394975715973806
sox2,d7,L4,23.729,7.219999999999999,0.006707542472169955,0.021890885754846552,0.046394975715973806
sox2,d7,L5,23.673,6.794999999999998,0.009005362084366144,0.021890885754846552,0.046394975715973806
sox2,d7,L6,23.762,6.856000000000002,0.008632535037499302,0.021890885754846552,0.046394975715973806
sox2,d11,L7,23.29,7.795999999999999,0.004499561102927181,0.021890885754846552,0.046394975715973806
sox2,d11,L8,23.452,7.950000000000001,0.0040440036087553794,0.021890885754846552,0.046394975715973806
sox2,d11,L9,23.824,7.23,0.006661210091937158,0.021890885754846552,0.046394975715973806
sox2,d15,L10,18.978,4.3820000000000014,0.04796081550002767,0.021890885754846552,0.046394975715973806
sox2,d15,L11,23.078,7.363999999999999,0.0060703692873753925,0.021890885754846552,0.046394975715973806
sox2,d15,L12,22.955,8.322,0.003124844251299817,0.021890885754846552,0.046394975715973806
sox2,d16,L13,18.256,2.436,0.18479530390923027,0.021890885754846552,0.046394975715973806
sox2,d16,L14,23.955,7.545999999999999,0.005350910077990496,0.021890885754846552,0.046394975715973806
sox2,d16,L15,24.034,7.59,0.005190178961314501,0.021890885754846552,0.046394975715973806
Nestin,d0,M1,25.678,10.143,8.844081865408425e-4,NA,NA
Nestin,d0,M2,25.954,10.473,7.035789789247661e-4,NA,NA
Nestin,d0,M3,26.196,9.450000000000003,0.0014297711874468966,NA,NA
Nestin,d7,M4,26.637,10.128,8.936515313749298e-4,NA,NA
Nestin,d7,M5,26.591,9.713000000000001,0.0011915044045627179,NA,NA
Nestin,d7,M6,26.792,9.886000000000003,0.0010568600044196413,NA,NA
Nestin,d11,M7,25.344,9.850000000000001,0.0010835639375662545,NA,NA
Nestin,d11,M8,25.548,10.045999999999998,9.459162004166301e-4,NA,NA
Nestin,d11,M9,NA,NA,NA,NA,NA
Nestin,d15,M10,25.146,10.55,6.670118441183568e-4,NA,NA
Nestin,d15,M11,25.128,9.414,0.0014658975561663784,NA,NA
Nestin,d15,M12,17.71,3.0770000000000017,0.11850337064108053,NA,NA
Nestin,d16,M13,26.67,10.850000000000001,5.417819687831271e-4,NA,NA
Nestin,d16,M14,26.481,10.072000000000003,9.290217542302712e-4,NA,NA
Nestin,d16,M15,26.464,10.02,9.631178754817963e-4,NA,NA
pax6,d0,N1,28.141,12.605999999999998,1.6040425136100761e-4,0.02428151191082311,0.09041667247792406
pax6,d0,N2,28.277,12.796000000000001,1.4061128446647434e-4,0.02428151191082311,0.09041667247792406
pax6,d0,N3,28.417,11.671000000000003,3.0667538602136853e-4,0.02428151191082311,0.09041667247792406
pax6,d7,N4,26.551,10.041999999999998,9.485424761148781e-4,0.02428151191082311,0.09041667247792406
pax6,d7,N5,26.407,9.529,0.0013535838727054834,0.02428151191082311,0.09041667247792406
pax6,d7,N6,26.816,9.91,0.001039424006302109,0.02428151191082311,0.09041667247792406
pax6,d11,N7,26.24,10.745999999999999,5.822797228176922e-4,0.02428151191082311,0.09041667247792406
pax6,d11,N8,26.094,10.592,6.478736038072077e-4,0.02428151191082311,0.09041667247792406
pax6,d11,N9,26.217,9.622999999999998,0.001268201760478405,0.02428151191082311,0.09041667247792406
pax6,d15,N10,24.989,10.393,7.436956736832325e-4,0.02428151191082311,0.09041667247792406
pax6,d15,N11,25.201,9.487,0.0013935688532401163,0.02428151191082311,0.09041667247792406
pax6,d15,N12,25.244,10.611,6.393971792400216e-4,0.02428151191082311,0.09041667247792406
pax6,d16,N13,25.234,9.414000000000001,0.0014658975561663771,0.02428151191082311,0.09041667247792406
pax6,d16,N14,25.099,8.690000000000001,0.002421304101443332,0.02428151191082311,0.09041667247792406
pax6,d16,N15,17.954,1.5100000000000016,0.3511112189344989,0.02428151191082311,0.09041667247792406
Foxg1,d0,O1,27.995,12.46,1.7748687955570182e-4,0.05799120805648682,0.22295858367923915
Foxg1,d0,O2,27.87,12.389000000000001,1.8644012426278074e-4,0.05799120805648682,0.22295858367923915
Foxg1,d0,O3,27.756,11.010000000000002,4.849084450376146e-4,0.05799120805648682,0.22295858367923915
Foxg1,d7,O4,27.679,11.169999999999998,4.3400521541336505e-4,0.05799120805648682,0.22295858367923915
Foxg1,d7,O5,27.766,10.887999999999998,5.27697950214528e-4,0.05799120805648682,0.22295858367923915
Foxg1,d7,O6,27.586,10.68,6.095364008308655e-4,0.05799120805648682,0.22295858367923915
